Packet_Size,Protocol,Src_Port,Dst_Port,TCP_Flags,Inter_Arrival_Time
66,6,62580,443,2,0.0
79,17,59909,443,0,0.007000923156738281
1111,6,443,62577,24,0.004996776580810547
82,17,443,54348,0,0.0009951591491699219
1292,17,443,54348,0,0.00099945068359375
1292,17,443,54348,0,0.0010056495666503906
1292,17,443,54348,0,0.0010006427764892578
1292,17,443,54348,0,0.0009999275207519531
1292,17,443,54348,0,0.0019991397857666016
54,6,62577,443,16,0.0010004043579101562
1292,17,54348,443,0,0.000993967056274414
81,17,54348,443,0,0.0
1288,17,443,54348,0,0.002007007598876953
68,17,443,54348,0,0.0010001659393310547
230,17,443,59909,0,0.0010001659393310547
1242,17,443,50208,0,0.0020189285278320312
131,17,54348,443,0,0.000986337661743164
113,17,54348,443,0,0.0009930133819580078
74,17,54348,443,0,0.0009984970092773438
82,17,59909,443,0,0.0010018348693847656
125,17,59909,443,0,0.0010013580322265625
113,17,59909,443,0,0.0
857,17,59909,443,0,0.0009980201721191406
74,17,49237,443,0,0.0010001659393310547
74,17,49201,443,0,0.0
112,6,62577,443,24,0.0009946823120117188
89,17,50640,443,0,0.001005411148071289
146,6,62577,443,24,0.0010058879852294922
653,6,62577,443,24,0.0
71,17,63888,443,0,0.002989530563354492
1242,17,443,50208,0,0.0
1242,17,443,50208,0,0.0010025501251220703
1242,17,443,50208,0,0.0009992122650146484
1242,17,443,50208,0,0.0009987354278564453
1041,17,443,50208,0,0.0009999275207519531
1292,17,50208,443,0,0.0010039806365966797
96,17,50208,443,0,0.0
96,17,50208,443,0,0.0009999275207519531
223,17,443,49237,0,0.0010170936584472656
82,17,443,52329,0,0.0009834766387939453
127,17,50208,443,0,0.0009989738464355469
128,17,50208,443,0,0.0010023117065429688
209,17,49237,443,0,0.0009937286376953125
1292,17,443,52329,0,0.0010120868682861328
1292,17,443,52329,0,0.0010013580322265625
1292,17,443,52329,0,0.0
1292,17,52329,443,0,0.0009913444519042969
1292,17,443,52329,0,0.0010006427764892578
1292,17,443,52329,0,0.0010006427764892578
81,17,52329,443,0,0.0009970664978027344
1292,17,443,52329,0,0.0009992122650146484
83,17,443,49201,0,0.0010023117065429688
63,17,443,49201,0,0.0
77,17,49201,443,0,0.0010001659393310547
82,17,52329,443,0,0.001001119613647461
147,17,53,49702,0,0.002006053924560547
60,6,443,62574,16,0.005991697311401367
996,17,443,49237,0,0.002000093460083008
163,17,443,49237,0,0.002996683120727539
75,17,49237,443,0,0.002003908157348633
75,17,49237,443,0,0.0020084381103515625
66,6,443,62580,18,0.0020470619201660156
54,6,62580,443,16,0.0009543895721435547
1454,6,62580,443,16,0.0010089874267578125
494,6,62580,443,24,0.0
237,17,443,59909,0,0.0009868144989013672
60,6,443,62574,16,0.0009944438934326172
210,17,59909,443,0,0.001001119613647461
1024,17,443,59909,0,0.0
75,17,59909,443,0,0.0009999275207519531
163,17,443,59909,0,0.0010161399841308594
69,17,443,59909,0,0.0
75,17,59909,443,0,0.0009834766387939453
73,17,59909,443,0,0.0010001659393310547
67,17,443,49237,0,0.004995822906494141
1494,17,443,50208,0,0.0
101,17,443,50208,0,0.000997781753540039
85,17,443,50208,0,0.0010035037994384766
60,6,443,62577,16,0.0
88,17,50208,443,0,0.0010173320770263672
133,6,443,62577,24,0.0009889602661132812
133,6,443,62577,24,0.0
125,6,443,62577,24,0.0009903907775878906
54,6,62577,443,16,0.0
85,6,62577,443,24,0.0010042190551757812
1454,6,443,62577,16,0.006998538970947266
1454,6,443,62577,24,0.0
54,6,62577,443,16,0.0010020732879638672
1454,6,443,62577,16,0.001001119613647461
54,6,62577,443,16,0.0
1454,6,443,62577,24,0.0009951591491699219
1454,6,443,62577,16,0.0
54,6,62577,443,16,0.0010030269622802734
1454,6,443,62577,24,0.0
54,6,62577,443,16,0.0
1454,6,443,62577,16,0.0030007362365722656
54,6,62577,443,16,0.0009999275207519531
221,6,443,61902,24,0.007006168365478516
89,17,50208,443,0,0.0009982585906982422
990,17,443,54348,0,0.0009961128234863281
163,17,443,54348,0,0.0
85,17,443,50208,0,0.0009968280792236328
73,17,54348,443,0,0.0
67,17,443,59909,0,0.022020339965820312
66,17,443,49201,0,0.0009899139404296875
60,6,443,62580,16,0.0
60,6,443,62580,16,0.0
79,17,52329,443,0,0.0009913444519042969
1454,6,443,62580,16,0.0
1454,6,443,62580,24,0.0009999275207519531
54,6,62580,443,16,0.0
1454,6,443,62580,16,0.0019969940185546875
1454,6,443,62580,24,0.0
236,6,443,62580,24,0.0010039806365966797
66,17,443,63888,0,0.0
66,17,443,54348,0,0.0
54,6,62580,443,16,0.0009937286376953125
144,6,62580,443,24,0.0
89,17,50208,443,0,0.0010001659393310547
891,17,443,52329,0,0.005999088287353516
682,17,443,59909,0,0.0010216236114501953
82,17,52329,443,0,0.0009915828704833984
223,17,443,59909,0,0.0009872913360595703
1454,6,443,62577,16,0.0010066032409667969
1454,6,443,62577,24,0.0010004043579101562
54,6,62577,443,16,0.0
77,17,59909,443,0,0.0010089874267578125
1454,6,443,62577,16,0.0
54,6,62577,443,16,0.0
1320,6,443,62577,24,0.001989126205444336
54,6,62577,443,16,0.001001596450805664
54,6,61902,443,16,0.0010013580322265625
192,6,62577,443,24,0.0010051727294921875
1084,6,443,62580,24,0.03799295425415039
60,6,443,62577,16,0.03300142288208008
898,17,443,52329,0,0.0009999275207519531
83,17,52329,443,0,0.0009989738464355469
60,6,443,62577,16,0.010995864868164062
54,6,62580,443,16,0.009003400802612305
66,17,443,59909,0,0.0010008811950683594
1454,6,443,62577,16,0.0010132789611816406
1454,6,443,62577,24,0.0
54,6,62577,443,16,0.0009953975677490234
1454,6,443,62577,16,0.0
1454,6,443,62577,24,0.000990152359008789
54,6,62577,443,16,0.0009984970092773438
1454,6,443,62577,16,0.0
1454,6,443,62577,24,0.0010020732879638672
1454,6,443,62577,16,0.0009999275207519531
1454,6,443,62577,24,0.0
54,6,62577,443,16,0.0010008811950683594
1454,6,443,62577,16,0.0
